Image_File,Image,Name,Bonus,Bone Type,Upg To Unlock,Max level,Notes
grimoire_images\GrimoireUpg0.png,,Wraith Damage,+1 Base Damage in Wraith Form,Femur,0,,Enter Wraith Form using the other Talent. It lets you get bones from killing monsters! Exit Wraith Form by reusing the talent.
grimoire_images\GrimoireUpg1.png,,Wraith Accuracy,+1 Base Accuracy in Wraith Form,Femur,1,,
grimoire_images\GrimoireUpg2.png,,Wraith Defence,+1 Base Defence in Wraith Form,Femur,5,,
grimoire_images\GrimoireUpg3.png,,Wraith Health,+1 Base HP in Wraith Form,Femur,10,,
grimoire_images\GrimoireUpg4.png,,Ribbon Shelf,"Unlocks Ribbons for Meals, found at Le Menu in W4",Femur,25,1.0,
grimoire_images\GrimoireUpg5.png,,Ribbon Winning,"Get +1 Daily Ribbon, +1% chance for rare quality",Femur,26,50.0,"You only get ribbons on days you play IdleOn. If your Shelf is full, the new ribbon will try to combine with another."
grimoire_images\GrimoireUpg6.png,,Wraith Damage II,+3 Base Damage in Wraith Form,Femur,80,,
grimoire_images\GrimoireUpg7.png,,Wraith of all Trades,"+1% Accuracy, Defence, and HP in Wraith Form",Femur,125,,
grimoire_images\GrimoireUpg8.png,,Wraith Destruction,+1% Total Damage in Wraith Form,Femur,155,,
grimoire_images\GrimoireUpg9.png,,Land Rank Database Maxim,+1 Max LV for 5th column Land Rank upgrades,Femur,190,10.0,
grimoire_images\GrimoireUpg10.png,,Wraith Crits,+1% Crit Chance in Wraith Form,Femur,220,40.0,
grimoire_images\GrimoireUpg11.png,,Pure Opals,+1 Opals to give to your Villagers in World 5,Ribcage,255,25.0,
grimoire_images\GrimoireUpg12.png,,Wraith Accuracy II,+3 Base Accuracy in Wraith Form,Femur,290,,
grimoire_images\GrimoireUpg13.png,,Knockout!,+1% Wraith DMG per KO!,Ribcage,330,,"A Knockout, or KO, is when you kill the target monster in a single hit using your bare hands, no spears allowed!"
grimoire_images\GrimoireUpg14.png,,Sacrifice of Harvest,(+0.05 per lvl)x higher Crop Evo chance,Femur,380,,
grimoire_images\GrimoireUpg15.png,,Wraith Defence II,+1 Base Defence in Wraith Form,Ribcage,425,,
grimoire_images\GrimoireUpg16.png,,Wraith Damage III,+15 Base Damage in Wraith Form,Ribcage,470,,
grimoire_images\GrimoireUpg17.png,,Grey Tome Book,(+0.1 per level)x higher bonuses from the Tome,Ribcage,500,150.0,
grimoire_images\GrimoireUpg18.png,,Femur Hoarding,+2% Wraith DMG per POW 10 Femur owned,Ribcage,550,,
grimoire_images\GrimoireUpg19.png,,Wraith Health II,+2 Base HP in Wraith Form,Ribcage,650,,
grimoire_images\GrimoireUpg20.png,,Wraith Strikeforce,+2% Crit DMG in Wraith Form,Ribcage,770,,
grimoire_images\GrimoireUpg21.png,,Elimination!,+1% Wraith DMG per elim!,Ribcage,900,,
grimoire_images\GrimoireUpg22.png,,Superior Crop Research,(+0.01 per lvl)x higher bonuses from the Crop Scientist,Femur,1050,200.0,
grimoire_images\GrimoireUpg23.png,,Bones o' Plenty,+2% Extra Bones,Ribcage,1250,,
grimoire_images\GrimoireUpg24.png,,Skull of Major Experience,"+8% Class EXP bonus for all characters, always!",Ribcage,1475,,
grimoire_images\GrimoireUpg25.png,,Wraith Accuracy III,+5 Base Accuracy in Wraith Form,Cranium,1700,,
grimoire_images\GrimoireUpg26.png,,Supreme Head Chef Status,+1 Max LV for all Meals. Go max them,Ribcage,1900,20.0,
grimoire_images\GrimoireUpg27.png,,Ribcage Hoarding,+1% Wraith DEF per POW 10 Ribcage owned,Femur,2150,,
grimoire_images\GrimoireUpg28.png,,Wraith Destruction II,+3% Total Damage in Wraith Form,Ribcage,2300,,
grimoire_images\GrimoireUpg29.png,,Villager Extraciricular,(+0.01 per lvl)x Villager EXP gain in World 5,Cranium,2500,,
grimoire_images\GrimoireUpg30.png,,Wraith Defence III,+2 Base Defence in Wraith Form,Cranium,2800,,
grimoire_images\GrimoireUpg31.png,,Annihilation!,+1% Wraith DMG per stack!,Cranium,2900,,
grimoire_images\GrimoireUpg32.png,,"Talents for Me, not for Thee",+1 Talent PTS for the Death Bringer class only,Cranium,3150,200.0,
grimoire_images\GrimoireUpg33.png,,Wraith Damage IV,+50 Base Damage in Wraith Form,Cranium,3300,,
grimoire_images\GrimoireUpg34.png,,Wraith Health III,+3 Base HP in Wraith Form,Cranium,3500,,
grimoire_images\GrimoireUpg35.png,,Skull of Major Damage,"+3% Total DMG bonus for all characters, always!",Cranium,3750,,
grimoire_images\GrimoireUpg36.png,,Writhing Grimoire,(+0.01)x higher bonuses from most Grimoire upgrades,Ribcage,4100,50.0,
grimoire_images\GrimoireUpg37.png,,Wraith Accuracy IV,+5 Base Accuracy in Wraith Form,Cranium,4200,,
grimoire_images\GrimoireUpg38.png,,Wraith of all Trades II,"+1% Accuracy, Defence, and HP in Wraith Form",Bovinae,4500,,
grimoire_images\GrimoireUpg39.png,,Skull of Major Talent,"+1 Talent LVs for all characters, always!",Bovinae,4600,30.0,
grimoire_images\GrimoireUpg40.png,,Wraith Defence IV,+3 Base Defence in Wraith Form,Bovinae,4800,,
grimoire_images\GrimoireUpg41.png,,Cranium Hoarding,+1% Wraith Accuracy per POW 10 Cranium owned,Bovinae,5000,,
grimoire_images\GrimoireUpg42.png,,Wraith Health IV,+5 Base HP in Wraith Form,Bovinae,5200,,
grimoire_images\GrimoireUpg43.png,,Wraith Destruction III,+5% Total Damage in Wraith form,Bovinae,5400,,
grimoire_images\GrimoireUpg44.png,,Skull of Major Droprate,"+1% Drop Rate bonus for all characters, always!",Bovinae,5600,,
grimoire_images\GrimoireUpg45.png,,"Ok fine, Talents for Thee too",+1 Talent PTS for all other Master Classes,Bovinae,5850,,
grimoire_images\GrimoireUpg46.png,,Wraith Damage V,+1 Base Damage in Wraith Form,Cranium,6200,,
grimoire_images\GrimoireUpg47.png,,Wraith Accuracy V,+1 Base Accuracy in Wraith Form,Cranium,6500,,
grimoire_images\GrimoireUpg48.png,,Bovinae Hoarding,+1% Extra Bones per POW 10 Bovinae owned,Cranium,6800,,
grimoire_images\GrimoireUpg49.png,,Wraith Defence V,+1 Base Defence in Wraith Form,Bovinae,7100,,
grimoire_images\GrimoireUpg50.png,,Wraith Destruction IV,+8% Total Damage in Wraith Form,Bovinae,7200,,
grimoire_images\GrimoireUpg51.png,,Death of the Atom Price,All Atoms are +1% cheaper to upgrade,Bovinae,7500,,
